resurgent,city,state,period,medianfamilyincome,poppovertyrate,population,timezero
0,Bridgeport,CT,1900,,,70996,-50
0,Hartford,CT,1900,,,79850,-50
1,New Haven,CT,1900,,,108027,-50
0,Waterbury,CT,1900,,,45859,-110
1,Peoria,IL,1900,,,56100,-70
0,Rockford,IL,1900,,,31051,-110
1,Evansville,IN,1900,,,59007,-60
1,Fort Wayne,IN,1900,,,45115,-110
0,Gary,IN,1900,,,0,-60
0,South Bend,IN,1900,,,35999,-60
0,Springfield,MA,1900,,,62059,-60
1,Worcester,MA,1900,,,118421,-50
0,Flint,MI,1900,,,13103,-60
1,Grand Rapids,MI,1900,,,87565,-100
1,Greensboro,NC,1900,,,10035,-110
1,Winston-Salem,NC,1900,,,13650,-110
1,Jersey City,NJ,1900,,,206443,-30
0,Paterson,NJ,1900,,,105171,-100
0,Rochester,NY,1900,,,162608,-50
0,Syracuse,NY,1900,,,108374,-50
0,Akron,OH,1900,,,42728,-60
0,Dayton,OH,1900,,,85333,-60
0,Youngstown,OH,1900,,,44885,-30
0,Allentown,PA,1900,,,35416,-110
0,Erie,PA,1900,,,52733,-60
1,Providence,RI,1900,,,175597,-40
0,Bridgeport,CT,1910,,,102054,-40
0,Hartford,CT,1910,,,98915,-40
1,New Haven,CT,1910,,,133605,-40
0,Waterbury,CT,1910,,,73141,-100
1,Peoria,IL,1910,,,66950,-60
0,Rockford,IL,1910,,,45401,-100
1,Evansville,IN,1910,,,69647,-50
1,Fort Wayne,IN,1910,,,63933,-100
0,Gary,IN,1910,,,16802,-50
0,South Bend,IN,1910,,,53684,-50
0,Springfield,MA,1910,,,88926,-50
1,Worcester,MA,1910,,,145986,-40
0,Flint,MI,1910,,,38550,-50
1,Grand Rapids,MI,1910,,,112571,-90
1,Greensboro,NC,1910,,,15895,-100
1,Winston-Salem,NC,1910,,,22700,-100
1,Jersey City,NJ,1910,,,267779,-20
0,Paterson,NJ,1910,,,125600,-90
0,Rochester,NY,1910,,,218149,-40
0,Syracuse,NY,1910,,,137249,-40
0,Akron,OH,1910,,,69067,-50
0,Dayton,OH,1910,,,116577,-50
0,Youngstown,OH,1910,,,79066,-20
0,Allentown,PA,1910,,,51913,-100
0,Erie,PA,1910,,,66525,-50
1,Providence,RI,1910,,,224326,-30
0,Bridgeport,CT,1920,,,143555,-30
0,Hartford,CT,1920,,,138036,-30
1,New Haven,CT,1920,,,162537,-30
0,Waterbury,CT,1920,,,91715,-90
1,Peoria,IL,1920,,,76121,-50
0,Rockford,IL,1920,,,65651,-90
1,Evansville,IN,1920,,,85264,-40
1,Fort Wayne,IN,1920,,,86549,-90
0,Gary,IN,1920,,,55378,-40
0,South Bend,IN,1920,,,70983,-40
0,Springfield,MA,1920,,,129614,-40
1,Worcester,MA,1920,,,179754,-30
0,Flint,MI,1920,,,91599,-40
1,Grand Rapids,MI,1920,,,137634,-80
1,Greensboro,NC,1920,,,19861,-90
1,Winston-Salem,NC,1920,,,48395,-90
1,Jersey City,NJ,1920,,,298103,-10
0,Paterson,NJ,1920,,,135875,-80
0,Rochester,NY,1920,,,295750,-30
0,Syracuse,NY,1920,,,171717,-30
0,Akron,OH,1920,,,208435,-40
0,Dayton,OH,1920,,,152559,-40
0,Youngstown,OH,1920,,,132358,-10
0,Allentown,PA,1920,,,73502,-90
0,Erie,PA,1920,,,93372,-40
1,Providence,RI,1920,,,237595,-20
0,Bridgeport,CT,1930,,,146716,-20
0,Hartford,CT,1930,,,164072,-20
1,New Haven,CT,1930,,,162655,-20
0,Waterbury,CT,1930,,,99902,-80
1,Peoria,IL,1930,,,104969,-40
0,Rockford,IL,1930,,,85864,-80
1,Evansville,IN,1930,,,102249,-30
1,Fort Wayne,IN,1930,,,114946,-80
0,Gary,IN,1930,,,100426,-30
0,South Bend,IN,1930,,,104193,-30
0,Springfield,MA,1930,,,149900,-30
1,Worcester,MA,1930,,,195311,-20
0,Flint,MI,1930,,,156492,-30
1,Grand Rapids,MI,1930,,,168592,-70
1,Greensboro,NC,1930,,,53569,-80
1,Winston-Salem,NC,1930,,,75274,-80
1,Jersey City,NJ,1930,,,316715,0
0,Paterson,NJ,1930,,,135513,-70
0,Rochester,NY,1930,,,328132,-20
0,Syracuse,NY,1930,,,209326,-20
0,Akron,OH,1930,,,255040,-30
0,Dayton,OH,1930,,,200982,-30
0,Youngstown,OH,1930,,,170002,0
0,Allentown,PA,1930,,,92563,-80
0,Erie,PA,1930,,,115967,-30
1,Providence,RI,1930,,,252981,-10
0,Bridgeport,CT,1940,,,147121,-10
0,Hartford,CT,1940,,,166267,-10
1,New Haven,CT,1940,,,160605,-10
0,Waterbury,CT,1940,,,99314,-70
1,Peoria,IL,1940,,,105087,-30
0,Rockford,IL,1940,,,84637,-70
1,Evansville,IN,1940,,,97062,-20
1,Fort Wayne,IN,1940,,,118410,-70
0,Gary,IN,1940,,,111719,-20
0,South Bend,IN,1940,,,101268,-20
0,Springfield,MA,1940,,,149554,-20
1,Worcester,MA,1940,,,193694,-10
0,Flint,MI,1940,,,151543,-20
1,Grand Rapids,MI,1940,,,164292,-60
1,Greensboro,NC,1940,,,59319,-70
1,Winston-Salem,NC,1940,,,79815,-70
1,Jersey City,NJ,1940,,,301173,10
0,Paterson,NJ,1940,,,139656,-60
0,Rochester,NY,1940,,,324975,-10
0,Syracuse,NY,1940,,,205967,-10
0,Akron,OH,1940,,,244791,-20
0,Dayton,OH,1940,,,210718,-20
0,Youngstown,OH,1940,,,167720,10
0,Allentown,PA,1940,,,96904,-70
0,Erie,PA,1940,,,116955,-20
1,Providence,RI,1940,,,253504,0
0,Bridgeport,CT,1950,,,158709,0
0,Hartford,CT,1950,,,177397,0
1,New Haven,CT,1950,,,164443,0
0,Waterbury,CT,1950,,,104477,-60
1,Peoria,IL,1950,,,111856,-20
0,Rockford,IL,1950,,,92927,-60
1,Evansville,IN,1950,,,128636,-10
1,Fort Wayne,IN,1950,,,133607,-60
0,Gary,IN,1950,,,133911,-10
0,South Bend,IN,1950,,,115911,-10
0,Springfield,MA,1950,,,162399,-10
1,Worcester,MA,1950,,,203486,0
0,Flint,MI,1950,,,163143,-10
1,Grand Rapids,MI,1950,,,176515,-50
1,Greensboro,NC,1950,,,74389,-60
1,Winston-Salem,NC,1950,,,87811,-60
1,Jersey City,NJ,1950,,,299017,20
0,Paterson,NJ,1950,,,139336,-50
0,Rochester,NY,1950,,,332488,0
0,Syracuse,NY,1950,,,220583,0
0,Akron,OH,1950,,,274605,-10
0,Dayton,OH,1950,,,243872,-10
0,Youngstown,OH,1950,,,168330,20
0,Allentown,PA,1950,,,106756,-60
0,Erie,PA,1950,,,130803,-10
1,Providence,RI,1950,,,248674,10
0,Bridgeport,CT,1960,105.6890459,,156748,10
0,Hartford,CT,1960,105.8303887,,162178,10
1,New Haven,CT,1960,103.6042403,,152048,10
0,Waterbury,CT,1960,115.459364,,107130,-50
1,Peoria,IL,1960,105.3180212,,103162,-10
0,Rockford,IL,1960,121.2897527,,126706,-50
1,Evansville,IN,1960,93.62190813,,141543,0
1,Fort Wayne,IN,1960,114.6996466,,161776,-50
0,Gary,IN,1960,106.0777385,,178320,0
0,South Bend,IN,1960,118.0565371,,132445,0
0,Springfield,MA,1960,105.9010601,,174463,0
1,Worcester,MA,1960,102.5441696,,186587,10
0,Flint,MI,1960,112.0141343,,196940,0
1,Grand Rapids,MI,1960,107.2084806,,177313,-40
1,Greensboro,NC,1960,103.2685512,,119574,-50
1,Winston-Salem,NC,1960,93.93992933,,111135,-50
1,Jersey City,NJ,1960,105.1236749,,276101,30
0,Paterson,NJ,1960,97.8975265,,143663,-40
0,Rochester,NY,1960,112.385159,,318611,10
0,Syracuse,NY,1960,110.3710247,,216038,10
0,Akron,OH,1960,114.2402827,,290351,0
0,Dayton,OH,1960,110.7067138,,262332,0
0,Youngstown,OH,1960,101.5724382,,166689,30
0,Allentown,PA,1960,106.8727915,,108347,-50
0,Erie,PA,1960,101.2897527,,138440,0
1,Providence,RI,1960,89.55830389,,207498,20
0,Bridgeport,CT,1970,,11.7,156546,20
0,Hartford,CT,1970,,17,158017,20
1,New Haven,CT,1970,,17.5,137715,20
0,Waterbury,CT,1970,,9.6,108033,-40
1,Peoria,IL,1970,,11.7,126964,0
0,Rockford,IL,1970,,9.5,147205,-40
1,Evansville,IN,1970,,12.3,138690,10
1,Fort Wayne,IN,1970,,9.3,177738,-40
0,Gary,IN,1970,,15.1,175249,10
0,South Bend,IN,1970,,9.4,125802,10
0,Springfield,MA,1970,,12.7,163886,10
1,Worcester,MA,1970,,10.4,176603,20
0,Flint,MI,1970,,12.4,193380,10
1,Grand Rapids,MI,1970,,12.5,197534,-30
1,Greensboro,NC,1970,,12.5,144245,-40
1,Winston-Salem,NC,1970,,18.2,132901,-40
1,Jersey City,NJ,1970,,13.7,260350,40
0,Paterson,NJ,1970,,16.6,144830,-30
0,Rochester,NY,1970,,12.4,295011,20
0,Syracuse,NY,1970,,14.1,197270,20
0,Akron,OH,1970,,11.8,275425,10
0,Dayton,OH,1970,,14.2,243459,10
0,Youngstown,OH,1970,,14.2,139702,40
0,Allentown,PA,1970,,9.7,109521,-40
0,Erie,PA,1970,,11.3,129220,10
1,Providence,RI,1970,,18.6,179223,30
0,Bridgeport,CT,1980,83.81784405,20.366392,142546,30
0,Hartford,CT,1980,70.45237737,25.218027,136392,30
1,New Haven,CT,1980,75.27740122,23.181852,126109,30
0,Waterbury,CT,1980,91.7256615,14.062114,103266,-30
1,Peoria,IL,1980,111.9345283,12.271064,124160,10
0,Rockford,IL,1980,109.5847768,10.32355,139712,-30
1,Evansville,IN,1980,91.4093488,12.1652,130496,20
1,Fort Wayne,IN,1980,98.30797811,10.981469,172196,-30
0,Gary,IN,1980,97.79083195,20.357243,151953,20
0,South Bend,IN,1980,94.88878847,12.057236,109727,20
0,Springfield,MA,1980,83.38103128,17.829742,152319,20
1,Worcester,MA,1980,90.97755686,14.411308,161799,30
0,Flint,MI,1980,100.8183963,16.882547,159611,20
1,Grand Rapids,MI,1980,94.77330923,13.458795,181843,-20
1,Greensboro,NC,1980,98.18747803,12.761283,155642,-30
1,Winston-Salem,NC,1980,89.13993071,16.407232,131885,-30
1,Jersey City,NJ,1980,80.87563388,21.198532,223532,50
0,Paterson,NJ,1980,71.91344078,25.165146,137970,-20
0,Rochester,NY,1980,86.16257468,17.465591,241741,30
0,Syracuse,NY,1980,83.3006979,18.366976,170105,30
0,Akron,OH,1980,90.53070242,15.024817,237177,20
0,Dayton,OH,1980,76.77863132,20.77368,203371,20
0,Youngstown,OH,1980,85.14836572,18.233112,115436,50
0,Allentown,PA,1980,97.21343576,11.660172,103758,-30
0,Erie,PA,1980,90.97253602,13.437228,119123,20
1,Providence,RI,1980,75.05146357,20.363317,156804,40
0,Bridgeport,CT,2000,79.06925628,18.36200862,139529,50
0,Hartford,CT,2000,54.05227191,30.61170304,121578,50
1,New Haven,CT,2000,71.8339128,24.3672785,123626,50
0,Waterbury,CT,2000,84.52223954,15.97280414,107271,-10
1,Peoria,IL,2000,93.67781641,18.77385031,112936,30
0,Rockford,IL,2000,90.84642129,13.97157765,150115,-10
1,Evansville,IN,2000,82.10646205,13.67127234,121582,40
1,Fort Wayne,IN,2000,89.99720257,12.51073419,205727,-10
0,Gary,IN,2000,64.35079727,25.78870973,102746,40
0,South Bend,IN,2000,78.0202214,16.66762172,107789,40
0,Springfield,MA,2000,72.50329697,23.07981439,152082,40
1,Worcester,MA,2000,85.89697478,17.91967995,172648,50
0,Flint,MI,2000,62.79023299,26.40554158,124943,40
1,Grand Rapids,MI,2000,88.36670263,15.72211775,197800,0
1,Greensboro,NC,2000,100.2917316,12.26020353,223891,-10
1,Winston-Salem,NC,2000,93.104344,15.1899021,185776,-10
1,Jersey City,NJ,2000,83.20145466,18.60364011,240055,70
0,Paterson,NJ,2000,70.7748871,22.19336673,149222,0
0,Rochester,NY,2000,62.45653998,25.89682543,219773,50
0,Syracuse,NY,2000,65.99128802,27.31465963,147306,50
0,Akron,OH,2000,78.68960556,17.45000967,217074,40
0,Dayton,OH,2000,69.89169964,22.98962908,166179,40
0,Youngstown,OH,2000,61.34556208,24.77686957,82026,70
0,Allentown,PA,2000,74.64332814,18.48349583,106632,-10
0,Erie,PA,2000,72.825001,18.81466304,103717,40
1,Providence,RI,2000,64.0570675,29.13575008,173618,60
0,Bridgeport,CT,2010,75.40249871,20.8,144229,60
0,Hartford,CT,2010,54.2181865,32.1,124775,60
1,New Haven,CT,2010,73.55261463,25.2,129779,60
0,Waterbury,CT,2010,73.4077151,20.9,110366,0
1,Peoria,IL,2010,99.04688305,19.1,115007,40
0,Rockford,IL,2010,74.11611283,23.3,152871,0
1,Evansville,IN,2010,72.94403658,19.5,117429,50
1,Fort Wayne,IN,2010,86.32470376,15,253691,0
0,Gary,IN,2010,51.59067491,34.2,80294,50
0,South Bend,IN,2010,65.80531942,24.3,101168,50
0,Springfield,MA,2010,67.54572385,27.6,153060,50
1,Worcester,MA,2010,87.75598918,18.3,181045,60
0,Flint,MI,2010,48.66692427,36.6,102434,50
1,Grand Rapids,MI,2010,72.84582689,24.3,188040,10
1,Greensboro,NC,2010,84.93044822,18.1,269666,0
1,Winston-Salem,NC,2010,82.90024472,19.3,229617,0
1,Jersey City,NJ,2010,98.65404431,17.5,247597,80
0,Paterson,NJ,2010,61.80609222,26.6,146199,10
0,Rochester,NY,2010,57.13871716,30.4,210565,60
0,Syracuse,NY,2010,58.86785162,31.1,145170,60
0,Akron,OH,2010,69.29739825,23.9,199110,50
0,Dayton,OH,2010,56.49149923,31,141527,50
0,Youngstown,OH,2010,52.98493045,32.7,66982,80
0,Allentown,PA,2010,64.50444359,24.6,118032,0
0,Erie,PA,2010,66.08223854,25,101786,50
1,Providence,RI,2010,66.32695775,26.3,178042,70
0,Bridgeport,CT,1990,,17.1,141686,40
0,Hartford,CT,1990,,27.5,139739,40
1,New Haven,CT,1990,,21.3,130474,40
0,Waterbury,CT,1990,,12.1,108961,-20
1,Peoria,IL,1990,,18.9,113504,20
0,Rockford,IL,1990,,13.4,139426,-20
1,Evansville,IN,1990,,14.6,126272,30
1,Fort Wayne,IN,1990,,11.5,173072,-20
0,Gary,IN,1990,,29.4,116646,30
0,South Bend,IN,1990,,14.4,105511,30
0,Springfield,MA,1990,,20.1,156983,30
1,Worcester,MA,1990,,15.3,169759,40
0,Flint,MI,1990,,30.6,140761,30
1,Grand Rapids,MI,1990,,16.1,189126,-10
1,Greensboro,NC,1990,,11.6,183521,-20
1,Winston-Salem,NC,1990,,15.2,143485,-20
1,Jersey City,NJ,1990,,18.9,228537,60
0,Paterson,NJ,1990,,18.5,140891,-10
0,Rochester,NY,1990,,23.5,231636,40
0,Syracuse,NY,1990,,22.7,163860,40
0,Akron,OH,1990,,20.5,223019,30
0,Dayton,OH,1990,,26.5,182044,30
0,Youngstown,OH,1990,,29,95732,60
0,Allentown,PA,1990,,12.9,105090,-20
0,Erie,PA,1990,,19.3,108718,30
1,Providence,RI,1990,,23,160728,50
